O;Bằng cấp;Kinh nghiệm;Tiếng Anh;Lời giới thiệu;Tuyển dụng
O1;MCE;Trung bình;Không;Xuất sắc;Từ chối
O2;MBA;Trung bình;Biết;Bình thường;Từ chối
O3;MSC;Nhiều;Biết;Tốt;Chấp nhận
O4;MCE;Ít;Biết;Xuất sắc;Từ chối
O5;MSC;Ít;Biết;Tốt;Chấp nhận
O6;MBA;Nhiều;Biết;Bình thường;Chấp nhận
O7;MBA;Nhiều;Biết;Xuất sắc;Chấp nhận
O8;MBA;Trung bình;Biết;Tốt;Từ chối
O9;MBA;Ít;Biết;Tốt;Từ chối
O10;MBA;Ít;Biết;Bình thường;Từ chối
O11;MSC;Trung bình;Biết;Tốt;Từ chối
O12;MCE;Nhiều;Biết;Bình thường;Từ chối
O13;MSC;Ít;Biết;Xuất sắc;Chấp nhận
O14;MBA;Ít;Không;Tốt;Chấp nhận
O15;MBA;Ít;Biết;Tốt;Từ chối
O16;MSC;Nhiều;Không;Xuất sắc;Chấp nhận
